Jeux,Description,Sortie,Test,Avis
Divinity : Original Sin - Enhanced Edition,"Jeu de rôle au tour par tour, Divinity : Original Sin se passe 8 millénaires après les événements de Divinity : Dragon Commander. Prenant place dans un univers heroïc-fantasy et s'inspirant des mécaniques des premiers jeux de rôle tels que Donjons et Dragons, le jeu comprend un mode multijoueur en écran splitté. La version Enhanced rendant le jeu disponible sur consoles apportera des nouveautés en termes de contenu et de scénario.",27 octobre 2015,19/20,17.2/20
Dishonored 2,"Suite du primé Dishonored, un jeu à la première personne à la croisée des genres action et infiltration se déroulant dans un univers steampunk uchronique. Pouvoirs, assassinats, complots sont au programme.",11 novembre 2016,19/20,17.2/20
Dark Souls III,"Développé par From Software, Dark Souls 3 est un action RPG particulièrement exigeant. L'environnement, très peu accueillant, ravira les amateurs de challenges corsés. Vous y combattrez de gigantesques ennemis, qui ne feront qu'une bouchée de vous.",12 avril 2016,19/20,17.5/20
Unravel,"Entre plates-formes et réflexion, Unravel vous embarque dans un univers nordique réaliste aux commandes de Yarny. Haut comme trois pommes, ce petit personnage doit utiliser ses propriétés laineuses pour explorer un environnement aux mille dangers, en évitant notamment l'eau, le froid et les animaux sauvages.",9 février 2016,19/20,17.1/20
NieR Automata,"Nier Automata est un jeu d'action de type RPG jouable en solo. Le titre amène le joueur dans un futur lointain où la Terre a été envahie par des formes extra-terrestres armées de ""bio-machines"". Après s'être réfugiée sur la lune, l'humanité envoie sur leur planète natale des androïdes capable de lutter avec les extra-terrestres et reconquérir la planète.",10 mars 2017,19/20,17.5/20
GemCraft : Chasing Shadows sur PC,"Le dernier né de la saga GemCraft, une série unique de jeux de Tower Defense sur PC où, au lieu de tours, vous utilisez des gemmes en tant qu'armes pour combattre des hordes incessantes de monstres redoutables.",30 avril 2015,19/20,11.1/20
Dishonored : Definitive Edition,"Dishonored : Definitive Edition est la version remasterisé de Dishonored, jeu d'infiltration et d'action dans lequel le joueur incarne Corvo, un ancien garde du corps. La Definitive Edition comprend aussi tous les DLC de Dishonored.",25 août 2015,19/20,16.2/20
Divinity : Original Sin II - Definitive Edition,Divinity : Original Sin II est un RPG où vous choisissez votre race et et votre background. Le monde réagit en fonction de vos choix. Rassemblez votre équipe et affrontez vos adversaires avec différents éléments de combat tactique au tour par tour. Explorez un vaste monde seul ou avec 4 joueurs en coopératif.,14 septembre 2017,19/20,17.6/20
Fire Emblem Fates : Revelation sur 3DS,"Fire Emblem Fates : Revelation est un DLC pour les deux versions de Fire Emblem Fates. Il propose un troisième scénario bonus qui permet d'interagir avec les deux camps de l'histoire, proposant encore un troisième point de vue sur celle-ci.",9 juin 2016,19/20,18/20
The Witcher 3 : Wild Hunt - Blood and Wine,"Dans The Witcher 3 : Wild Hunt - Blood and Wine sur PC, entrez dans la peau de Geralt de Riv, tueur de monstres professionnel, et explorez Toussaint, une lointaine contrée épargnée par la guerre, où vous lèverez le voile sur le terrible secret derrière la bête terrorisant le duché. Démêlez l'écheveau complexe des pistes au cœur d'un mystère que seul un sorceleur pourra élucider, tout en survivant au mal tapi à la faveur de la nuit.",31 mai 2016,19/20,19.2/20
Forza Horizon 3,"Jeu de course en monde ouvert, Forza Horizon 3 vous donne accès à des centaines de véhicules. Le joueur pourra arpenter à toute vitesse les paysages d'Australie. De très nombreuses épreuves sont au programme et les pilotes du monde entier peuvent s'affronter dans les mêmes conditions que dans le mode solo. Le jeu est en Xbox Play Anywhere, ce qui signifie qu'une même clé est activable sur Windows 10 comme sur Xbox One.",27 septembre 2016,19/20,17.4/20
Super Mario Odyssey sur Switch,"Super Mario Odyssey est un jeu de plate-forme où la princesse Peach a été enlevée par Bowser. Pour la sauver, Mario quitte le royaume Champignon à bord de l'Odyssey. Accompagné de Chappy, son chapeau vivant, il doit parcourir différents royaumes et faire tout pour vaincre, une nouvelle fois, le terrible Bowser.",27 octobre 2017,19/20,17.6/20
Zero Escape : The Nonary Games,"Zero Escape: The Nonary Games est un jeu d'aventure jouable en solo. Enlevées puis amenées dans un lieu inconnu, neuf personnes se retrouvent forcées de participer à un jeu diabolique orchestré par l’énigmatique Zero. Pourquoi ? A qui faire confiance ?",24 mars 2017,19/20,16.4/20
Okami HD,"Okami est un jeu d'aventure et d'action sur PC. Le titre dispose d'un aspect graphique très particulier, et vous propose d'incarner la déesse Amaterasu réincarnée en un magnifique loup blanc, dans une quête pour redonner de la vie et de la couleur dans votre monde, terrorisé par de nombreux ennemis qui font régner les ténèbres. Battez-vous au moyen d'un pinceau, véritable prolongement du personnage qu'on incarne, et utilisez-le également pour avancer dans l'histoire.",12 décembre 2017,19/20,16/20
Monster Hunter World,"La dernière entrée de la série Monster Hunter. Plus complet que jamais, le jeu transporte le joueur au travers de batailles contre de terribles monstres et de magnifiques paysages. Récupérerez des objets sur vos ennemis, créez de nouveaux équipements et armures, explorez tous les territoires disponibles. Saurez vous devenir le chasseur ultime ?",26 janvier 2018,18/20,16.9/20
Octopath Traveler sur Switch,"Octopath Traveller est un RPG développé par Square Enix en HD-2D. Vous pourrez choisir votre personnage parmi 8 présents, chacun ayant ses propres capacités, mais aussi ses propres objectifs, offrant une histoire différente.",13 juillet 2018,18/20,14.5/20
Dragon Ball FighterZ,Dragon Ball FighterZ est un jeu de combat 2D développé par Arc System Works et édité par Bandai Namco. Cette nouvelle adaptation de la franchise Dragon Ball met en scène les personnages iconiques de la série dans des affrontements explosifs en 3 versus 3.,26 janvier 2018,18/20,16.7/20
Dead Cells,"Dead Cells est un jeu d'action-aventure de type plate-forme avec des éléments de rogue-like. Le joueur doit explorer un château et résister à des hordes de zombies et de monstres. Pour ce faire, vous pouvez utiliser votre fouet et différentes armes en plus de la magie.",7 août 2018,18/20,16.6/20
Two Point Hospital sur PC,"Two Point Hospital est un jeu de gestion et de simulation dans la lignée de Theme Hospital. Concevez votre hôpital, que vous pouvez intégralement personnaliser. Vous pourrez y guérir vos patients, gérer vos employés, faire grandir votre organisation et même collaborer ou rivaliser avec vos amis.",30 août 2018,18/20,17.8/20
The Messenger,The Messenger est un jeu de plateforme en pixel art mettant le joueur dans la peau d'un jeune ninja chargé de délivrer un parchemin vital à la survie de son clan. Il devra pour cela s'aventurer dans un monde maudit peuplé de créatures démoniaques.,30 août 2018,18/20,15.7/20
Yakuza Kiwami 2 sur PS4,"Yakuza Kiwami 2 est une version remastérisée de Yakuza 2, un jeu d'action et d'aventure à la troisième personne et en monde ouvert. L'histoire commence alors que Yukio Terada, le cinquième président du Clan Tojo, vient d'être assassiné. Alors que la guerre se dessine à l'horizon, le Dragon de Dojima, Kazuma Kiryu n'a d'autre choix que de replonger dans un monde auquel il a tourné le dos.",28 août 2018,18/20,15.4/20
Pillars of Eternity 2 : Deadfire,"Pillars of Eternity 2 : Deadfire est un RPG développé par Obsidian Entertainment. Suite de Pillars of Eternity, vous y poursuivez un dieu sur terre comme sur mer. Pour cela vous disposez d'un navire pour voguer à travers les vastes régions de l'archipel inexploré de Deadfire.",8 mai 2018,18/20,18.3/20
Yakuza 6 : The Song of Life,"Yakuza 6 sur PS4 est un jeu de type aventure en monde ouvert. Après les événements du 5e volet, on retrouve Kazuma, qui après avoir apprit qu'Haruka eu été gravement blessé, va tenter de l'aider et de trouver des réponses sur son agression. Pour cela, il va se rendre à Hiroshima, dernier endroit dans lequel s'est rendu la jeune fille. En plus de cela, des problèmes au sein du clan Tojo refont surface...",17 avril 2018,18/20,15.7/20
Celeste,"Celeste est un jeu développé par Matt Thorson, créateur de Towerfall Ascension. Il s'agit d'un platformer dans lequel il faut atteindre le sommet d'une montagne dans plus de 600 niveaux sur huit chapitres réservant de nombreux secrets.",25 janvier 2018,18/20,17.7/20
Moss,Moss est un jeu d'aventure en VR dans lequel vous devez dégager le passage devant la souris en utilisant les manettes à détection de mouvement de la réalité virtuelle. Vous devrez donc aider cette souris aventureuse à traverser les différents environnements.,28 février 2018,18/20,
Dragon's Crown Pro sur PS4,"Déjà sorti sur PS3 et Vita il y a plusieurs années, Dragon's Crown fait son grand retour. Cette version supportera la 4K, son OST entièrement réenregistrées avec un orchestre symphonique et offrira du crossplay entre les différentes versions.",15 mai 2018,18/20,
Killzone : Shadow Fall sur PS4,Killzone : Shadow Fall est un FPS dont l'histoire se déroule 30 ans après le dernier épisode. Le joueur y contrôle un shadow marshall devant préserver la paix fragile qui subsiste entre les Vektans et les Helghasts. Il a à sa disposition un drone pouvant le seconder en combat et qui lui offre de nombreuses opportunités tactiques sur le champ de bataille.,29 novembre 2013,18/20,
Castlevania : Order of Ecclesia sur DS,"Dracula refait surface alors que le clan Belmont a disparu. Dans Castlevania : Order of Ecclesia sur DS, le joueur incarne une mystérieuse héroïne, membre de l'ordre d'Ecclesia, qui part en quête des glyphes magiques qui lui permettront de défier le seigneur du mal.",27 novembre 2008,18/20,
Pro Evolution Soccer 4,"Pro Evolution Soccer 4 est un jeu de sport pour PC. Retrouvez toute l'ambiance des matches de foot sur votre PS2 en prenant le contrôle de l'équipe choisie. Plus de 3000 joueurs licenciés FIFPro, 57 équipes nationales et 80 clubs européens sont présents. Affrontez l'IA du jeu ou jouez avec vos amis à côté de vous pour des parties enflammées.",14 octobre 2004,18/20,18.3/20
Castlevania : Lords of Shadow 2,"Révélations est le premier DLC pour Castlevania : Lords of Shadow 2 sur PC. Le joueur peut y incarner Alucard, le fils maudit de Gabriel, qui doit se préparer au retour de son père au cours d’événements se déroulant avant le jeu de base.",25 mars 2014,18/20,16.5/20
Astérix,"Astérix sur Game Gear est un jeu de plates-formes inspiré de la célèbre bande dessinée d'Uderzo et Goscinny. Panoramix a été enlevé par les Romains. Astérix, Obélix et Idéfix partent donc le secourir au travers de sept niveaux où vous contrôlez tour à tour les deux compagnons, chacun possédant ses propres caractéristiques. Astérix est plus rapide alors qu'Obélix peut manipuler des objets.",1991,18/20,16.9/20
Star Wars : Dark Forces,"Star Wars : Dark Forces, FPS sur PC, met en scène le personnage de Kyle Katarn dans une aventure se déroulant peu avant l'Episode IV de Star Wars. Le joueur peut d'ailleurs participer au vol des schémas de la première Etoile Noire avant de déjouer les plans de l'Empire projetant la création de super soldats, les Dark Troopers. Le jeu est à l'origine de la série des Jedi Knight dont Kyle Katarn est également le héros.",1995,18/20,17.7/20
Life is Strange,"Jeu d'aventure dans lequel le joueur incarne l'étudiante en photographie Max Caufield, Life is Strange permet d'enquêter sur la disparition d'une adolescente. L'héroïne découvre en effet qu'elle a le pouvoir de remonter le temps, et va mettre son don à profit dans sa ville natale.",30 janvier 2015,18/20,19/20
Schizm sur PC,"Schizm est un jeu d'aventure et de réflexion sur PC. 2083, des sondes spatiales repèrent la planète Argilus. Un étrange monde à l'architecture magnifique mais désert, sans le moindre signe de vie. Aux commandes de votre vaisseau de ravitaillement, tous vos systèmes se dérèglent et vous vous écrasez sur la planète. Parcourez la planète à la recherche de votre copilote et résolvez le mystère entourant ce monde.",Novembre 2001,18/20,13.2/20
DeadCore,"Jeu de plates-formes et de réflexion, DeadCore vous permet d'incarner un androïde qui devra grimper le plus rapidement possible au sommet d’une tour gigantesque, bravant les dangers et déjouant les pièges et les nombreux systèmes de sécurité.",17 octobre 2014,18/20,16.5/20
Banjo-Kazooie,"Banjo-Kazooie sur Xbox Live Arcade est un jeu de plates-formes dans lequel vous dirigez un couple composé d'un ours brun et d'un drôle d'oiseau. L'accent est mis sur la coopération entre Banjo et son comparse Kazooie : le premier distribue les coups de poing, l'autre sort la tête de son sac pour donner des coups de bec, pour casser des oeufs, ou encore pour aider l'ours à effectuer un grand saut grâce à ses ailes.",1998,18/20,18.8/20
NaissanceE sur PC,"NaissanceE sur PC est un titre mélangeant exploration, plates-formes et puzzles, en vue subjective. Perdu dans un environnement monochrome, le joueur doit se débrouiller pour retrouver son chemin et parvenir à s'échapper de ce complexe aussi intrigant qu'oppressant.",13 février 2014,18/20,14.5/20
Final Fantasy IX,Dans ce neuvième opus de la série Final Fantasy IX le joueur bénéficie de graphismes améliorés et de cinématiques à couper le souffle. Parcourez le vaste monde du titre pour découvrir une histoire riche en rebondissements et en magie.,16 février 2001,18/20,19/20
Touhou Eiyashou : Imperishable Night sur PC,,15 août 2004,18/20,18.8/20
Actua Pool,Les meilleures tables de billard vous attendent sur DS avec Actua Pool. Préparez-vous à affronter seize adversaires dans les huit clubs les plus élitistes de la ville. Jouez au Jeu de la 8 et au Jeu de la 9 avec les règles officielles. Participez à plusieurs modes différents et mesurez-vous jusqu'à 4 en multi.,Février 1999,18/20,15.8/20
Chaos Rings,"Chaos Rings est un jeu de rôle japonais édité par Square Enix et disponible sur PS Vita. Invités de force par un mystérieux commanditaire, quatre couples de héros luttent pour leur survie en explorant des territoires hostiles et en s'affrontant dans une arène. Que font-ils là ? Qui les oblige à s'entre-tuer ? C'est ce que le joueur devra apprendre en combattant de nombreuses créatures au tour par tour et en résolvant divers puzzles.",20 avril 2010,18/20,16/20
FIFA 12,FIFA 12 est une simulation de football permettant au joueur de participer à des matchs et de former ses propres équipes. Le nouveau moteur de jeu permet des actions plus naturelles et des collisions améliorées. Les joueurs réagissent plus vite que dans les précédents opus grâce au nouveau système Intelligence pro.,29 septembre 2011,18/20,17.6/20
24 Heures du Mans,"24 Heures du Mans est un jeu de courses automobiles sur PC uniquement solo. Plusieurs modes de jeu sont disponibles : championnat, arcade et Le Mans (en temps réel !). Chacun est décliné en sous-catégories. Trois circuits officiels (Automobile Club de l'Ouest) sont disponibles dans quatre conditions climatiques différentes.",Novembre 1999,18/20,17.7/20
Mass Effect 3,"Mass Effect 3 est un RPG de style futuriste se déroulant dans l'espace. Le joueur doit y combattre les Cerberus, des pro-humain ainsi que les Moissonneurs. Les choix du joueur sont pris en compte dans son aventure et influencent l'issue de l'histoire ainsi que de la guerre.",8 mars 2012,18/20,18.1/20
Unreal,"Unreal est un jeu de tir à la première personne sur PC. Unreal est renommé pour ses graphismes révolutionnaires en 3D, son inventivité, son scénario captivant, et pour son arsenal original. Différentes armes toutes aussi puissantes les unes que les autres sont à ramasser pour combattre les envahisseurs de la planète Na-Pali.",30 mai 1998,18/20,18.7/20
Red Dead Redemption,"Red Dead Redemption est un jeu d'action en monde ouvert qui se déroule au début du XXème siècle. Pendant la révolution mexicaine, le joueur incarne John Marston, ex-hors-la-loi devant traquer ses anciens camarades l'ayant laissé pour mort. Il devra accomplir de nombreuses missions pour obtenir son indépendance.",21 mai 2010,18/20,18.3/20
Kingdom Hearts : Birth by Sleep sur PSP,"Jeu de rôle, Kingdom Hearts : Birth by Sleep relate des événements antérieurs aux autres épisodes de la série. Le joueur a accès à trois histoires différentes dans l'ordre qu'il souhaite, chacune étant basée sur un des trois héros du jeu : Terra, Ventus et Aqua. Leur style de combat évolue de façon dynamique selon les techniques utilisées, ces dernières pouvant être créées par un système de fusion très approfondi.",10 septembre 2010,18/20,18.5/20
Deus Ex,"Deus Ex sur PC mélange FPS et jeu de rôle en donnant une grande liberté d'action au joueur qui sera confronté à des problèmes moraux et philosophiques. L'action du jeu se déroule dans un univers cyberpunk secoué par des crises politiques et dans lequel sévit le fléau de la ""peste grise"".",22 septembre 2000,18/20,
Need for Speed : Porsche 2000,"Need for Speed : Porsche 2000 est un jeu de courses sur PC. Le soft met à votre disposition l'intégralité des bolides du constructeur, de 1950 à nos jours, et c'est énorme : 80 modèles au total ! Chaque modèle est recréé avec une fidélité jamais atteinte pour une simulation automobile, c'est proprement hallucinant !",24 mars 2000,18/20,17.3/20
God of War sur PS2,"God of War est un jeu d'action mythologique sur PS2. Incarnez Kratos, un anti-héros à la fois banni et honni par les dieux de la Grèce antique. Afin de sauver votre âme, obéissez aux ordres divins et partez combattre des créatures et monstres légendaires dans des combats d'une violence inouïe mais toujours magnifiquement orchestrés.",22 juin 2005,18/20,18.3/20
StarWing sur SNES,"StarWing, ou StarFox dans la version originale, est le premier jeu à apporter des graphismes en 3D sur Super Nintendo. Aux commandes des Arwing, les nouveaux vaisseaux de l'équipe Star Fox, vous devrez défendre le système planétaire Lylat contre les troupes de l'Empereur Andross. Vous êtes pour cela accompagné de trois autres vaisseaux de qui pourront vous venir en aide ou au contraire avoir besoin de votre secours. Une fois un ami éliminé, il le reste malheureusement pour toute la partie.",3 juin 1993,18/20,17.2/20
Darkest Dungeon,"Darkest Dungeon est un RPG au tour par tour dont l'intérêt repose sur le stress provoqué par l'inconnu. Le joueur devra y monter une équipe de héros et les mener dans des lieux toujours plus effrayants pour leur faire combattre des monstres, mais aussi leurs peurs.",19 janvier 2016,18/20,15.3/20
Theatrhythm Final Fantasy : Curtain Call sur 3DS,"Tiré de la série des Final Fantasy, Theathrhythm Final Fantasy : Curtain Call est le deuxième épisode d'un jeu mêlant défis rythmiques et composantes de jeux de rôle. Le joueur y constitue une équipe de quatre personnages parmi les 60 à débloquer, et les fait monter de niveau dans les trois types de morceaux : voyage, combat et cinématique. Il peut booster les capacités de ses personnages à l'aide de carte, et faire des duels contre l'IA ou d'autres joueurs en local ou en ligne.",16 septembre 2014,18/20,17.5/20
Pilotwings,"Pilotwings vous apprend à piloter votre console virtuelle Wii U. Aux commandes d'un avion ou d'un hélicoptère, vous apprendrez à piloter en suivant les missions, du décollage à l'atterrissage, en passant par le tir. Vous devrez également maîtriser le saut en parachute depuis votre avion en essayant d'atterrir sur une cible au sol.",21 janvier 1993,18/20,16.8/20
Sonic 3,Sonic 3 est un jeu de plates-formes sur Xbox Live Arcade. Sonic et Tails doivent stopper le Dr. Robotnik qui compte bien reconstruire son Oeuf de la Mort. Il faudra récupérer tous les Chaos Emeralds au cours des six zones du jeu (chacune étant trois fois plus vaste que celles de l'opus précédent). Il s'agit toujours de traverser les niveaux à toute vitesse en ramassant un maximum d'anneaux mais un adversaire plus coriace va venir se frotter à nos héros : Knuckles.,1994,18/20,18.5/20
Pillars of Eternity,Pillars of Eternity est un RPG solo dont l'histoire se passe dans un univers de fantasy. Le joueur y crée son avatar et peut ensuite recruter un maximum de 5 compagnons pour l'aider. Le système de combat est en temps réel et avec une pause active.,26 mars 2015,18/20,16.1/20
Empire : Total War,"Empire : Total War est un jeu de stratégie reprenant les bases de la série du même nom, mais adaptées au niveau de l'océan et des batailles navales. Il faudra, suivant une trame historique, vaincre les flottes ennemies et partir à l'abordage sur de nombreuses cartes variées.",4 mars 2009,18/20,16.8/20
Shogo : Mobile Armor Division,"Shogo : Mobile Armor Division est un jeu de tir à la première personne sur PC. Tout au long des nombreux niveaux de Shogo (environ une quarantaine), vous opérerez en extérieur, dans des bases spatiales ou dans des dédales de souterrains. Vous serez en permanence en liaison radio avec vos supérieurs qui vous diront étape après étape comment doit se dérouler votre mission.",1998,18/20,17.6/20
Gremlins 2 : The New Batch sur Nes,Gremlins 2 : The New Batch est un jeu de plates-formes/action sur Nes. Incarnez le célèbre Gizmo qui doit rejoindre le Centre de contrôle des Gremlins afin de tous les éliminer. Ce jeu se déroule en plusieurs tableaux dans lesquels il faut se frayer un passage en évitant et en affrontant les obstacles par le biais de bonus (un arc par exemple).,1991,18/20,17.1/20
Tearaway sur Vita,"Tearaway est un jeu de plates-formes sur PlayStation Vita. On y incarne Iota qui va devoir partir à l'aventure dans un monde de papier. Pour l'aider, le joueur utilise également les pavés tactiles avant et arrière de la console afin d'interagir avec les décors du jeu en les déchirant littéralement grâce à ses doigts.",22 novembre 2013,18/20,17.8/20
Professeur Layton et le Destin Perdu sur DS,"Troisième volet de la fameuse série, Professeur Layton : Le Destin Perdu sur DS vous amènera dans le Londres du futur. Après avoir été mystérieusement transporté, le professeur et Luke devront tenter de s'échapper pour éviter tout conflit temporel.",22 octobre 2010,18/20,18.3/20
Phantasy Star Online,"Phantasy Star Online sur PC est un jeu d'action multijoueur en ligne. L'ambiance du jeu mêle la science-fiction futuriste avec des accents d'heroïc-fantasy. Vous créez votre personnage en choisissant sa race, son métier, ses proportions et son équipement.",15 février 2001,18/20,17.6/20
Halo 2,"Halo 2 sur PC est un jeu de tir à la première personne qui plonge le joueur dans un univers de science-fiction. Enferrée dans une guerre presque perdue d'avance contre des extraterrestres, l'humanité ne compte plus que sur le Master Chief pour son salut. Au-delà de son mode solo dynamique, Halo 2 se distingue surtout par son multijoueur qu'il est possible de pratiquer en local ou sur le Live.",10 novembre 2004,18/20,18.3/20
Divinity : Original Sin,"Jeu de rôle au tour par tour, Divinity : Original Sin se passe 8 millénaires après les événements de Divinity : Dragon Commander. Prenant place dans un univers heroïc-fantasy et s'inspirant des mécaniques des premiers jeux de rôle tels que Donjons et Dragons, le jeu comprend un mode multijoueur.",30 juin 2014,18/20,16.8/20
MechWarrior 3 sur PC,"MechWarrior 3 est un jeu d'action sorti sur PC qui vous place aux commandes de robots géants de 10 mètres de haut et de plus de 100 tonnes. Ces mastodontes d'acier sont équipés d'armes sophistiquées (laser, roquettes, mitrailleuses...) et de possibilités de visée particulières (cadrage de cible, zoom).",Juin 1999,18/20,17.2/20
A Golden Wake,A Golden Wake est un jeu de Point'n Click rétro en 2D se déroulant dans les années 20. Le joueur y incarne Alfie dans sa quête pour la gloire en Californie qui le mêlera a des histoires mafieuses impliquant drogue et alcool...,9 octobre 2014,18/20,17.7/20
Super Mario Bros. Deluxe,"Super Mario Bros. Deluxe est un jeu de plates-formes sur console virtuelle 3DS. La princesse Toadstool a été enlevée par le terrible Bowser. A vous de la délivrer. Mais, pour cela, vous devez franchir moult pièges tendus par vos ennemis, et traverser de nombreux niveaux, de plates-formes en escaliers, de tuyaux et de falaises escarpées.",10 mai 1999,18/20,
Shadow Complex sur 360,"Shadow Complex est un jeu d'action. Vous y incarnez Jason Fleming, un jeune homme qui tombe par hasard sur un complexe militaire secret lors d'une randonnée. Le jeu propose un gameplay en 2D puisque vous ne pouvez déplacer votre personnage que sur un seul plan. Les environnements sont par contre modélisés en 3D et bénéficient d'ailleurs du moteur graphique Unreal Engine 3.",19 août 2009,18/20,
Little Big Adventure 2 sur PC,"Little Big Adventure 2 est un jeu d'aventure sur PC qui vous emmène sur la planète Twinsun pour incarner Twinsen, le héros du premier opus. Alors que votre femme vous demande d'aller chercher des médicaments pour soigner votre Dino-fly (un croisement entre un dragon et un dinosaure), vous assistez au débarquement d'extraterrestres, les Esmers, qui se disent pacifiques ! Mais la vérité est tout autre puisqu'ils préparent une invasion ! Twinsen repart alors à l'aventure pour les arrêter !",1997,18/20,19.2/20
La Légende de Thor,"Dans le jeu de rôle/action La Légende de Thor sur Console Virtuelle, incarnez le prince Ali, détenteur du bracelet d'or capable d'invoquer les esprits. Vous devez lutter contre le propriétaire du bracelet d'argent qui, lui, sème le chaos et la destruction. Parcourez les terres de votre royaume et apprenez à maîtriser les différents pouvoirs de votre bracelet pour renvoyer les créatures dans l'autre monde.",1995,18/20,17.1/20
Metal Gear Solid V : The Phantom Pain,"Metal Gear Solid V : The Phantom Pain nous permet de retrouver Big Boss qui va devoir séjourner quelque temps en Afghanistan et en Afrique pour mener à bien la nouvelle mission qui lui est confiée. Pour se faire, il pourra compter sur son ami de toujours, Revolver Ocelot.",1er septembre 2015,18/20,17.8/20
Le Sanglot des Cigales sur PC,"Dans le district de Shishibone, il existe un tout petit village reclus de tout : Hinamizawa. Cet endroit qui ne compte pas 2000 âmes est frappé chaque année. Le Sanglot des Cigales sur PC est un roman sonore d'enquête. C'est à vous, lecteur, de vous creuser les méninges. Vous pouvez abandonner et vous laisser porter par l'histoire. Vous pouvez aussi vous rebeller et tenter de résoudre l'énigme. Libre à vous de choisir la manière d'apprécier cette histoire.",Juin 2010,18/20,17.9/20
Donkey Kong Country Returns,"Donkey Kong Country Returns sur Wii U est un jeu de plates-formes fortement inspiré par le Donkey Kong Country sorti sur Super Nes. Incarnez Donkey et Diddy Kong alors qu'ils s'efforcent de remettre la patte sur leur stock de bananes dans une aventure proposant un gameplay à l'ancienne, tout en 2D.",3 décembre 2010,18/20,17.9/20
Silver,Silver sur PC est un jeu de rôle à dominante d'action dont le scénario catastrophe en interpellera plus d'un puisque toutes les femmes de votre royaume ont été enlevées. Il vous incombe le devoir de les retrouver pour retrouver un certain équilibre.,Avril 1999,18/20,18.4/20
The Chronicles of Riddick : Escape from Butcher Bay - Developer's Cut sur PC,"The Chronicles of Riddick : Escape from Butcher Bay - Developer's Cut est un jeu de tir à la première personne sur PC vous mettant dans la peau du héros éponyme incarné par Vin Diesel au cinéma. Les événements se déroulent entre les deux films, racontant la fuite du héros bourru et bourrin du pénitencier de Butcher Bay. Frayez-vous un passage derrière des gardes peu attentifs et abusez de votre vision nocturne pour vous sortir de cet enfer.",4 février 2005,18/20,17.4/20
Virtua Fighter 4 Evolution,"Virtua Fighter 4 Evolution est un jeu de combat sur PS3. Cette version spéciale du 4ème opus de la série connue pour être technique apporte de nombreux ajouts. Deux nouveaux personnages sont ainsi à accueillir avec Brad Burns, adepte du kickboxing, et Goh Hinogami. Un mode Quest est aussi présent où le joueur pourra gagner de l'argent afin de débloquer des accessoires.",20 juin 2003,18/20,16.4/20
Age of Mythology sur PC,Age of Mythology est un jeu de stratégie sorti sur PC. Incarnez une des 3 civilisations antiques possédant chacune des unités particulières. Appelez à la rescousse les dieux et usez de leurs divins pouvoirs pour réduire à néant vos adversaires.,20 novembre 2002,18/20,18.1/20
Phantasy Star IV : The End Of The Millennium,"Dans le jeu de rôle Phantasy Star IV sur Console Virtuelle, vous dirigez Chaz, un jeune mercenaire appartenant à la guilde d'Aiedo. Alors que Dark Force, une entité maléfique, ressurgit des ténèbres grâce au mage noir Zio, vous avez été choisi pour rassembler une équipe et mettre un terme à cette menace une bonne fois pour toutes. Votre route sera parsemée de nombreux combats à régler au tour par tour.",1994,18/20,18.8/20
Rayman,"Dans le monde de Rayman, la nature et les habitants vivent en paix et Le Grand Protoon maintient l'équilibre et l'harmonie de cet univers. Jusqu'au jour où l'horrible Mister Dark le dérobe, plongeant le monde dans le chaos et les ténèbres. Rayman devra trouver et délivrer tous les toons puis anéantir Mister Dark pour délivrer le Grand Protoon. Rayman est une des références du jeu de plates-formes.",30 octobre 1995,18/20,18.9/20
World of Goo,"Puzzle-game nouvelle génération, World of Goo sur PC vous invite à faire la connaissance des Goo Balls. Ces petites boules de goudron s'assemblent et vous permettent de réaliser différentes constructions ou structures improbables. Créez des tour, des ponts ou encore des échelles pour faire franchir les niveaux à vos Goos.",19 décembre 2008,18/20,18.5/20
Dungeon Keeper 2 sur PC,Dungeon Keeper 2 est un jeu de stratégie sorti sur PC. Lassé d'être un aventurier sauvant la veuve et l'orphelin ? Alors devenez propriétaire d'un donjon et piégez-le pour empêcher les héros de s'y aventurer. Vous pourrez même incarner les monstres que vous placerez.,Juillet 1999,18/20,18/20
Gunstar Heroes,"Gunstar Heroes est un subtil mélange de jeu de tir et de jeu de plates-formes. Vous incarnez seul ou à deux, les Gunstar Heroes, en charge d'empêcher le redoutable Colonel Red de libérer une créature immonde. Vous choisissez parmi quatre armes, qui peuvent être associées à d'autres. Vous avez aussi la possibilité de faire usage de vos poings et de balancer vos ennemis. Des boss colossaux seront à battre pour terminer le jeu.",1993,18/20,16.6/20
Darksiders,Darksiders est un jeu d'aventure et d'action ou le joueur incarne un des quatre cavaliers de L'Apocalypse arpentant la terre après la fin du monde. Le titre alterne des phases de combats colossales avec des phases d'exploration.,6 janvier 2010,18/20,17.6/20
Jet Set Radio,"Jet Set Radio sur PC est le portage du jeu du même nom sorti à l'origine sur Dreamcast. Doté d'un style graphique en cel shading, le jeu consiste à se balader, rollers aux pieds, dans Tokyo-to, en taguant votre marque par dessus celle des autres gangs. Vous êtes poursuivi par un commissaire de police qui usera de moyens de plus en plus impressionnants pour vous arrêter. Le tout se déroule sur fond de musique mixée par le déjanté Professeur K.",24 novembre 2000,18/20,18.9/20
Hatsune Miku : Project Diva F,,4 septembre 2013,18/20,18.4/20
